address,core_days_cnt,type,note
0xbf0c5d82748ed81b5794e59055725579911e3e4e,103,0
0xebfb47a7ad0fd6e57323c8a42b2e5a6a4f68fc1a,103,0
0x60a26d69263ef43e9a68964ba141263f19d71d51,101,0
0x2057cfb9fd11837d61b294d514c5bd03e5e7189a,99,0
0x605188c45c6ef9491a093c5d1e84f7cd13b0971f,98,1
0x493c57c4763932315a328269e1adad09653b9081,95,0
0x00de4b13153673bcae2616b67bf822500d325fc3,91,1
0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,87,0
0x6467e807db1e71b9ef04e0e3afb962e4b0900b2b,85,0
0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,85,0
0x0efab66d0c050519c734bc8b7034ed68cb0f9323,85,0
0x2a549b4af9ec39b03142da6dc32221fc390b5533,84,0
0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,83,0
0x39755357759ce0d7f32dc8dc45414cca409ae24e,83,0
0x0379da7a5895d13037b6937b109fa8607a659adf,80,0
0x23340e240eb31c65c88540971897b0b7794863a1,78,0
0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd,78,0
0x6727727aa0500c08ebd5f60cd75421eafb5472ff,78,1
0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,75,0
0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,73,0
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,72,1
0xf78f74a0f9104aa62864b93802260c3469167a9a,70,1
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,70,1
0x16de59092dae5ccf4a1e6439d611fd0653f0bd01,64,0
0xf4684eb75659bec9c3c3b19f075a6fd5aba34b87,64,0
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,63,1
0xfeca40ab00cdef18a23b2591077c9ff6dbb9d996,62,1
0x19d3364a399d251e894ac732651be8b0e4e85001,61,0
0x357378351ede8b3da345abd555a1334913fe5525,58,1
0x739ca6d71365a08f584c8fc4e1029045fa8abc4b,58,0
0xdb38ae75c5f44276803345f7f02e95a0aeef5944,57,0
0x8f337bd3b7f2b05d9a8dc8ac518584e833424893,57,0
0xf92c1ad75005e6436b4ee84e88cb23ed8a290988,56,0
0x989273ec41274c4227bcb878c2c26fdd3afbe70d,56,0
0x9509665d015bfe3c77aa5ad6ca20c8afa1d98989,55,0
0x0a2311594059b468c9897338b027c8782398b481,54,1
0xe82906b6b1b04f631d126c974af57a3a7b6a99d9,53,0
0x693c188e40f760ecf00d2946ef45260b84fbc43e,53,0
0x3fda25f27211a138adf211f4c060f2149674be6d,53,0
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,50,1
0x16cac1403377978644e78769daa49d8f6b6cf565,49,0
0x97e7d56a0408570ba1a7852de36350f7713906ec,47,0
0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,47,0
0xc47b7094f378e54347e281aab170e8cca69d880a,45,0
0x728bbe9bbee3af78ad611315076621865950b344,45,0
0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,43,1
0x45f783cce6b7ff23b2ab2d70e416cdb7d6055f51,42,0
0xb3c9669a5706477a2b237d98edb9b57678926f04,40,0
0x891f5a171f865031b0f3eb9723bb8f68c901c9fe,38,0
0x5fa4370164a2fabeef159b893299d59ff5dc1e6d,38,0
0x387ca78a5edf943d267b9248cce1b0fdb67d0029,37,1
0xa540fb50288cc31639305b1675c70763c334953b,37,0
0xde21f729137c5af1b01d73af1dc21effa2b8a0d6,37,0
0x0a6bb2770450f8bb7cc0b42ee859ac7f9177010d,36,0
0x0a1820f0ff7dc9fce0a4f0b589ee14ddae88233c,36,0
0xf5ab36def38e2635342e93895fedbd93c8ebb715,35,0
0x84d53cba013d0163bb07d65d5123d1634bc2a575,34,0
0x3d4cc8a61c7528fd86c55cfe061a78dcba48edd1,33,0
0x61189da79177950a7272c88c6058b96d4bcd6be2,32,1
0x231b7589426ffe1b75405526fc32ac09d44364c4,29,0
0x7515be43d16f871588adc135d58a9c30a71eb34f,29,0
0x896dc58182c3b78598c11aa10f940257a1ce32b1,28,0
0x329239599afb305da0a2ec69c58f8a6697f9f88d,28,0
0xf90e98f3d8dce44632e5020abf2e122e0f99dfab,28,0
0x745daa146934b27e3f0b6bff1a6e36b9b90fb131,28,0
0x340d693ed55d7ba167d184ea76ea2fd092a35bdc,28,1
0x41f8d14c9475444f30a80431c68cf24dc9a8369a,28,0
0x3ba3c8fb0142a6f2bf3e2990a08957866203f961,28,0
0x9abe2715d2d99246269b8e17e9d1b620e9bf6558,27,0
0x75116bd1ab4b0065b44e1a4ea9b4180a171406ed,27,0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,27,1
0x21bbc083362022ab8d7e42c18c47d484cc95c193,26,0
0xf75fcd9849d3365d436d0cd889ed500150c9482a,25,1
0x04bf40a81dd28591465823089c9d3a7ad19bc6b3,25,1
0x0437465dfb5b79726e35f08559b0cbea55bb585c,25,0
0xc73e0383f3aff3215e6f04b0331d58cecf0ab849,25,0
0xd47140f6ab73f6d6b6675fb1610bb5e9b5d96fe5,25,0
0x6b093998d36f2c7f0cc359441fbb24cc629d5ff0,24,0
0x159bce2f33186e1252bf1ce216b4c8dfb16e14e5,24,0
0xb936525a77ba0529f6c0feab28f8b0ae6c0398c7,24,0
0xf9879bb3230f86ffcebca652c5fb6ec4504309be,24,1
0x323e054a6dd8762011d60993f51e23e2096b221f,24,0
0xc51a5024280d6ab2596e4affe1bdf6bdc2318da2,23,0
0x5c5b40855fc364b797c1f539f7eb39cdc94a8a91,23,0
0xfc00b89f215ae289911b3b8d846a3eaaa00c0ee8,23,1
0x1485e9852ac841b52ed44d573036429504f4f602,22,0
0x689c56aef474df92d44a1b70850f808488f9769c,22,1
0x7c6ce24d013cd4ddf4c193ce318e3d5533a33f42,22,0
0xc2d55ce14a8e04aef9b6bcfd105079b63c6a0ac8,21,0
